family,context,seed,model,fields,n_features,fit_rows
PGD-PGS,fold-0,42,C+P+V,wave_evidence;vpp_v;log1p_vpp;signed_dominant_peak_over_vpp;peak_balance;rms_over_vpp;signed_area_balance;half_peak_width_fraction,8,380
PGD-PGS,fold-0,42,C+P+V+route,wave_evidence;vpp_v;log1p_vpp;signed_dominant_peak_over_vpp;peak_balance;rms_over_vpp;signed_area_balance;half_peak_width_fraction,8,380
PGD-PGS,fold-0,123,C+P+V,wave_evidence;vpp_v;log1p_vpp;signed_dominant_peak_over_vpp;peak_balance;rms_over_vpp;signed_area_balance;half_peak_width_fraction,8,380
PGD-PGS,fold-0,123,C+P+V+route,wave_evidence;vpp_v;log1p_vpp;signed_dominant_peak_over_vpp;peak_balance;rms_over_vpp;signed_area_balance;half_peak_width_fraction,8,380
PGD-PGS,fold-0,2026,C+P+V,wave_evidence;vpp_v;log1p_vpp;signed_dominant_peak_over_vpp;peak_balance;rms_over_vpp;signed_area_balance;half_peak_width_fraction,8,380
PGD-PGS,fold-0,2026,C+P+V+route,wave_evidence;vpp_v;log1p_vpp;signed_dominant_peak_over_vpp;peak_balance;rms_over_vpp;signed_area_balance;half_peak_width_fraction,8,380
PGD-PGS,fold-1,42,C+P+V,wave_evidence;vpp_v;log1p_vpp;signed_dominant_peak_over_vpp;peak_balance;rms_over_vpp;signed_area_balance;half_peak_width_fraction,8,341
PGD-PGS,fold-1,42,C+P+V+route,wave_evidence;vpp_v;log1p_vpp;signed_dominant_peak_over_vpp;peak_balance;rms_over_vpp;signed_area_balance;half_peak_width_fraction,8,341
PGD-PGS,fold-1,123,C+P+V,wave_evidence;vpp_v;log1p_vpp;signed_dominant_peak_over_vpp;peak_balance;rms_over_vpp;signed_area_balance;half_peak_width_fraction,8,341
PGD-PGS,fold-1,123,C+P+V+route,wave_evidence;vpp_v;log1p_vpp;signed_dominant_peak_over_vpp;peak_balance;rms_over_vpp;signed_area_balance;half_peak_width_fraction,8,341
PGD-PGS,fold-1,2026,C+P+V,wave_evidence;vpp_v;log1p_vpp;signed_dominant_peak_over_vpp;peak_balance;rms_over_vpp;signed_area_balance;half_peak_width_fraction,8,341
PGD-PGS,fold-1,2026,C+P+V+route,wave_evidence;vpp_v;log1p_vpp;signed_dominant_peak_over_vpp;peak_balance;rms_over_vpp;signed_area_balance;half_peak_width_fraction,8,341
PGD-PGS,fold-2,42,C+P+V,wave_evidence;vpp_v;log1p_vpp;signed_dominant_peak_over_vpp;peak_balance;rms_over_vpp;signed_area_balance;half_peak_width_fraction,8,387
PGD-PGS,fold-2,42,C+P+V+route,wave_evidence;vpp_v;log1p_vpp;signed_dominant_peak_over_vpp;peak_balance;rms_over_vpp;signed_area_balance;half_peak_width_fraction,8,387
PGD-PGS,fold-2,123,C+P+V,wave_evidence;vpp_v;log1p_vpp;signed_dominant_peak_over_vpp;peak_balance;rms_over_vpp;signed_area_balance;half_peak_width_fraction,8,387
PGD-PGS,fold-2,123,C+P+V+route,wave_evidence;vpp_v;log1p_vpp;signed_dominant_peak_over_vpp;peak_balance;rms_over_vpp;signed_area_balance;half_peak_width_fraction,8,387
PGD-PGS,fold-2,2026,C+P+V,wave_evidence;vpp_v;log1p_vpp;signed_dominant_peak_over_vpp;peak_balance;rms_over_vpp;signed_area_balance;half_peak_width_fraction,8,387
PGD-PGS,fold-2,2026,C+P+V+route,wave_evidence;vpp_v;log1p_vpp;signed_dominant_peak_over_vpp;peak_balance;rms_over_vpp;signed_area_balance;half_peak_width_fraction,8,387
PGD-PGS,final,42,C+P+V,wave_evidence;vpp_v;log1p_vpp;signed_dominant_peak_over_vpp;peak_balance;rms_over_vpp;signed_area_balance;half_peak_width_fraction,8,642
PGD-PGS,final,42,C+P+V+route,wave_evidence;vpp_v;log1p_vpp;signed_dominant_peak_over_vpp;peak_balance;rms_over_vpp;signed_area_balance;half_peak_width_fraction,8,642
PGD-PGS,final,123,C+P+V,wave_evidence;vpp_v;log1p_vpp;signed_dominant_peak_over_vpp;peak_balance;rms_over_vpp;signed_area_balance;half_peak_width_fraction,8,642
PGD-PGS,final,123,C+P+V+route,wave_evidence;vpp_v;log1p_vpp;signed_dominant_peak_over_vpp;peak_balance;rms_over_vpp;signed_area_balance;half_peak_width_fraction,8,642
PGD-PGS,final,2026,C+P+V,wave_evidence;vpp_v;log1p_vpp;signed_dominant_peak_over_vpp;peak_balance;rms_over_vpp;signed_area_balance;half_peak_width_fraction,8,642
PGD-PGS,final,2026,C+P+V+route,wave_evidence;vpp_v;log1p_vpp;signed_dominant_peak_over_vpp;peak_balance;rms_over_vpp;signed_area_balance;half_peak_width_fraction,8,642
PGT-PGD,fold-0,42,C+P+V,wave_evidence;vpp_v;positive_peak_v;negative_peak_abs_v;rms_v;mean_abs_v;positive_auc_vs;negative_auc_abs_vs;absolute_auc_vs;crest_factor;half_peak_width_s;duration_s;skewness;kurtosis;zero_crossings;template_corr;snr_proxy_db,17,443
PGT-PGD,fold-0,42,C+P+V+route,wave_evidence;vpp_v;positive_peak_v;negative_peak_abs_v;rms_v;mean_abs_v;positive_auc_vs;negative_auc_abs_vs;absolute_auc_vs;crest_factor;half_peak_width_s;duration_s;skewness;kurtosis;zero_crossings;template_corr;snr_proxy_db,17,443
PGT-PGD,fold-0,123,C+P+V,wave_evidence;vpp_v;positive_peak_v;negative_peak_abs_v;rms_v;mean_abs_v;positive_auc_vs;negative_auc_abs_vs;absolute_auc_vs;crest_factor;half_peak_width_s;duration_s;skewness;kurtosis;zero_crossings;template_corr;snr_proxy_db,17,443
PGT-PGD,fold-0,123,C+P+V+route,wave_evidence;vpp_v;positive_peak_v;negative_peak_abs_v;rms_v;mean_abs_v;positive_auc_vs;negative_auc_abs_vs;absolute_auc_vs;crest_factor;half_peak_width_s;duration_s;skewness;kurtosis;zero_crossings;template_corr;snr_proxy_db,17,443
