family,target_pct,model,reference,delta_mae_pp,ci95_low_pp,ci95_high_pp,evaluation_role
PGD-PGS,10,C+V,C,-4.991425834422567,-5.186751414067288,-4.808354132422793,REUSED_CONFIRMATION
PGD-PGS,10,C+P+V,C+V,5.83593279426938,5.563017614214078,6.083763812980248,REUSED_CONFIRMATION
PGD-PGS,10,C+P+V,P,0.0,0.0,0.0,REUSED_CONFIRMATION
PGD-PGS,10,C+P+V+route,C+P+V,-3.232737511530158,-3.3328508045535328,-3.1265316555103655,REUSED_CONFIRMATION
PGD-PGS,10,C+P+V,OLS-V,5.034079084830025,4.939642794227939,5.125193097520262,REUSED_CONFIRMATION
PGD-PGS,10,C+P+V,Piecewise-V,-3.5754629177252575,-3.752443398589565,-3.3940072983041283,REUSED_CONFIRMATION
PGD-PGS,45,C+V,C,0.13314732139379615,0.013815035838394985,0.26374177150506806,REUSED_CONFIRMATION
PGD-PGS,45,C+P+V,C+V,0.2764626812416573,-0.016101948672076392,0.542778490883462,REUSED_CONFIRMATION
PGD-PGS,45,C+P+V,P,-7.4673520913126215,-7.539855029920361,-7.393759310746011,REUSED_CONFIRMATION
PGD-PGS,45,C+P+V+route,C+P+V,-2.014380034082561,-2.4347330966887193,-1.5581225954952054,REUSED_CONFIRMATION
PGD-PGS,45,C+P+V,OLS-V,-7.048054859506088,-7.404426585837756,-6.721343255721338,REUSED_CONFIRMATION
PGD-PGS,45,C+P+V,Piecewise-V,-3.4569302026650286,-4.25781372077234,-2.7179525542080647,REUSED_CONFIRMATION
PGD-PGS,60,C+V,C,0.7816552725479209,0.7374861445844988,0.8268185601304773,REUSED_CONFIRMATION
PGD-PGS,60,C+P+V,C+V,-5.615436408641783,-5.773382649513483,-5.460671881241768,REUSED_CONFIRMATION
PGD-PGS,60,C+P+V,P,5.395235418609559,4.664369371381791,6.089846356507412,REUSED_CONFIRMATION
PGD-PGS,60,C+P+V+route,C+P+V,3.168106906234276,2.796033403013299,3.550677009040107,REUSED_CONFIRMATION
PGD-PGS,60,C+P+V,OLS-V,-3.4126290346266233,-3.65643194395097,-3.1746681029477304,REUSED_CONFIRMATION
PGD-PGS,60,C+P+V,Piecewise-V,5.953161468604947,5.504501495605709,6.377822126572118,REUSED_CONFIRMATION
PGT-PGD,10,C+V,C,1.4343907126019708,0.7751127364634207,2.050987129525003,REUSED_CONFIRMATION
PGT-PGD,10,C+P+V,C+V,0.48399392450302825,0.2740461126600056,0.7011503499552424,REUSED_CONFIRMATION
PGT-PGD,10,C+P+V,P,2.0076201883334135,1.4803073712296122,2.504561043851886,REUSED_CONFIRMATION
PGT-PGD,10,C+P+V+route,C+P+V,0.7663883804105769,0.13357757761243827,1.3907735007486455,REUSED_CONFIRMATION
PGT-PGD,10,C+P+V,OLS-V,-2.7043695567366477,-3.0875025230717887,-2.324782854997755,REUSED_CONFIRMATION
PGT-PGD,10,C+P+V,Piecewise-V,-4.162438349569367,-4.548136069122392,-3.763903809896763,REUSED_CONFIRMATION
PGT-PGD,45,C+V,C,1.7071403874960005,1.4654033696800377,1.9569694934466162,REUSED_CONFIRMATION
PGT-PGD,45,C+P+V,C+V,-5.577371257362076,-5.768403196378305,-5.381625429305666,REUSED_CONFIRMATION
PGT-PGD,45,C+P+V,P,2.4013728714764127,2.0705398019759116,2.711353511000516,REUSED_CONFIRMATION
PGT-PGD,45,C+P+V+route,C+P+V,0.2916469042252112,-0.07828165340964863,0.6368611741707475,REUSED_CONFIRMATION
PGT-PGD,45,C+P+V,OLS-V,-8.433065259226424,-8.741936314952337,-8.137013914842074,REUSED_CONFIRMATION
PGT-PGD,45,C+P+V,Piecewise-V,-10.513960316120945,-11.29394179696693,-9.751265618690951,REUSED_CONFIRMATION
PGT-PGD,60,C+V,C,-0.4668003486235346,-1.060017183648308,0.13742391289066255,REUSED_CONFIRMATION
PGT-PGD,60,C+P+V,C+V,2.796291750568109,2.4344497943845353,3.1669070797029586,REUSED_CONFIRMATION
PGT-PGD,60,C+P+V,P,2.6527433546152306,2.1688563029132286,3.131921026152425,REUSED_CONFIRMATION
PGT-PGD,60,C+P+V+route,C+P+V,7.943530777214281,7.092131950573822,8.765981016096976,REUSED_CONFIRMATION
PGT-PGD,60,C+P+V,OLS-V,1.8244374025338175,1.479159868134426,2.1731852750820977,REUSED_CONFIRMATION
PGT-PGD,60,C+P+V,Piecewise-V,9.276941618036947,9.129696816067039,9.414325581043178,REUSED_CONFIRMATION
